"","D0N","D1N","J1N","D0S","D1S","J1S","D0L","D1L","J1L"
"CRUK0297",1.56063505954297,1.35942301167422,0.804113457356488,6.89452989440566,4.83376821634175,0.807063739383483,1.87633326110031,1.48115548388701,0.665219742495264
"CRUK0233",1.92131208555931,1.92072165272063,0.999556581439375,2.26117612521781,2.234150349297,0.993314815899669,1.93407487125898,1.9331265328572,0.9992924272652
"CRUK0280",1.88302437163073,1.65884298285615,0.817455201826174,4.85371466062752,3.8886627968478,0.863370055378225,2.17230701601716,1.84192437618896,0.789359894270891
"CRUK0286",1.98788114476729,1.89973387257416,0.934565829467484,2.06843252049127,1.96852552406463,0.937688931231673,2.00524180486429,1.91323691543419,0.933104922884334
"CRUK0256",2.94661908064473,2.78018425919332,0.946755429066569,3.16644305889328,2.97269714167457,0.945871136151896,3.01576561767637,2.8426079811545,0.946192364172554
"CRUK0274",1.64031594295146,1.60358426389475,0.976544240564949,9.67578409991454,8.08724974526345,0.920645411130435,2.90621359654627,2.55661985193369,0.874855462505703
"CRUK0240",2.0055870522333,1.88789526191064,0.915288959098776,2.1535365877024,1.9683663691532,0.898112336151079,2.02324492915115,1.90252333041455,0.915422501677223
"CRUK0236",1.93295330248028,1.92414254281562,0.993817132190629,3.04872543491931,2.84740313119789,0.962231324898924,2.10087608703728,2.08922365267506,0.994820335560985
"CRUK0392",1.03126795408989,1.02630256505777,0.994977349712258,1.28662090837831,1.13730175690013,0.903293317544343,1.04533876699081,1.03951684915858,0.994590716433541
"CRUK0381",2.80741763670458,2.2157772003949,0.784384477196097,3.93532328776538,2.95715668293256,0.775922065872734,3.06602011495564,2.39713121523774,0.777969082891882
"CRUK0352",1.72524545736407,1.68012818333683,0.974442146461326,4.17496203624555,3.80750450411604,0.961716916114337,2.02809181290074,1.92383598997782,0.95468270641532
"CRUK0310",1.99512723027187,1.98599385278061,0.993380406545961,1.99512723027187,1.98599385278061,0.993380406545961,1.99512723027187,1.98599385278061,0.993380406545961
"CRUK0312",1,1,1,1,1,1,1,1,1
"CRUK0328",1.94238749739858,1.85614913080519,0.93448158677755,2.25349522435791,2.06485693845152,0.904753050997579,1.96228344216533,1.87499872755892,0.934356169752072
"CRUK0388",1.88539790929418,1.61974886778578,0.78090111594767,2.36194156011625,1.97261679526977,0.788883148784003,1.99156129948689,1.69107792468397,0.764371098916725
"CRUK0386",1.95474474105459,1.92484313711217,0.977760653286214,1.95474474105459,1.92484313711217,0.977760653286214,1.95474474105459,1.92484313711217,0.977760653286214
"CRUK0393",1.96412800805383,1.83770815880688,0.9040187170952,2.1274449249408,1.98656040211842,0.91714261796181,1.96822708334886,1.83945199394516,0.902379344721622
"CRUK0318",2.89250946663544,2.79032912182686,0.967263337954543,3.07836059845798,2.96248217464071,0.96500016988789,2.99850372067863,2.88864780021815,0.966025410943312
"CRUK0396",1.91288399304648,1.8741954259487,0.970910348338764,2.72107694908607,2.53465987053523,0.94737154481045,2.04176078860885,1.98537050360404,0.964485037974601
"CRUK0343",1.84389785976173,1.30334115479366,0.510633098789745,2.66055181578189,1.73480803658879,0.561414203423557,1.89839590942958,1.34434719121843,0.520657881273053
"CRUK0430",1.94962484564313,1.92347586561276,0.980519186133245,1.96948200968409,1.94065584993507,0.97979733010091,1.9500650311312,1.92390230354201,0.980513304350084
"CRUK0492",1.08742471628063,1.07900469526427,0.992900178114036,1.71550987218335,1.4101626004559,0.821782486177445,1.11976180002992,1.10927728115244,0.99138589521378
"CRUK0456",1.93998276574318,1.9391126442375,0.999352776939157,2.14107773963162,2.13267846775505,0.996697788809605,1.98055557228976,1.97908655253751,0.99892952567835
"CRUK0422",1.78817504898794,1.78704861831482,0.999090912261159,3.00305329173359,2.79441163614135,0.953899132306568,1.92766347875005,1.92232979831419,0.996002653156216
"CRUK0404",1.54829377946434,1.45755809005371,0.912874142075105,6.7404800135448,5.18786597830158,0.863904782482927,2.1718820203338,1.79275375863728,0.742334805445857
"CRUK0450",1.96542148296011,1.96282562369288,0.998093279910795,2.11272001421771,2.09195932565068,0.99247179773111,1.99955513970969,1.99590704175931,0.997365464096402
"CRUK0485",1.99729795477427,1.9588357188486,0.971946840018802,2.00340757750126,1.96388425197428,0.971611940192078,1.99729795477427,1.9588357188486,0.971946840018802
"CRUK0462",1.00825188304617,1.00743466787077,0.999181637958783,1.05131342587588,1.03737501340894,0.990138570741229,1.00924982607839,1.00840955565823,0.999215989031834
"CRUK0423",1.76734174453265,1.54440776024526,0.807299987411771,6.09840397146306,4.71459769372256,0.854093823124182,1.98628295655358,1.71838688854035,0.795097595839279
"CRUK0478",1.00756317501831,1.00666472208361,0.998712962241077,1.07774158768412,1.06128620861967,0.989433348481518,1.01012506028014,1.00899634420823,0.998387027896856
